zipcode,total_crimes
48227,13748
48235,11616
48205,10011
48219,9151
48224,8149
48126,7398
48223,6899
48221,6263
48234,6253
48238,6133
48201,6908
48204,5998
48213,5531
48210,4482
48203,4693
48209,3676
48207,3896
48206,3589
48202,3844
48215,3439
48216,2763
48233,2999
48214,2527
48243,2909
48212,2203
48225,2024
48240,2139
48208,1937
48211,1724
48127,1611
48030,1722
48226,1397
48217,925
48075,840
48239,855
48236,666
48220,300
48230,232
48146,174
48089,188
48229,62
48122,27
48124,16
48091,11
48128,6
48218,6
48080,5
48237,4
48120,4
48125,4
48195,3
48101,3
48015,1
0,338
